id,tl,tl_desc,hs6,sector_code,base_rate,base_rate_alt,final_year,tls_per_6_digit,staging_basket,trq_quota,trq_note,tariff_eliminated,product_type,pending_data,ag_id,partnername,reportername,stagingbasket,stagingbasketid,num_mar_columns,partnerstartyear,reporterstartyear,partneragreementname,reporteragreementname,partneragreementapproved,reporteragreementapproved,rule_text,link_text,link_url,rule_text,link_text,link_url,quotaname,producttype,y2004,alt_2004,y2005,alt_2005,y2006,alt_2006,y2007,alt_2007,y2008,alt_2008,y2009,alt_2009,y2010,alt_2010,y2011,alt_2011,y2012,alt_2012,y2013,alt_2013,y2014,alt_2014,y2015,alt_2015,y2016,alt_2016,y2017,alt_2017,y2018,alt_2018,y2019,alt_2019,y2020,alt_2020,y2021,alt_2021,y2022,alt_2022,y2023,alt_2023,y2024,alt_2024,y2025,alt_2025,y2026,alt_2026,y2027,alt_2027,y2028,alt_2028,y2029,alt_2029,y2030,alt_2030,y2031,alt_2031
439026,01011000,Pure-bred breeding animals,010110,15,0,(null),2005,1,6,(null),(null),true,2,false,1,United States,Australia,Immediate,6,10,(null),2005,United States,Australia,(null),true,(null),(null),(null),A change to heading 0101 through 0106 from any other chapter.,(null),(null),(null),Agricultural,(null),(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
439054,01011000,Live purebred breeding horses and asses,010110,15,0,(null),2005,1,6,(null),(null),true,2,false,29,Australia,United States,Immediate,6,10,2005,(null),Australia,United States,true,(null),A change to heading 0101 through 0106 from any other chapter.,(null),(null),(null),(null),(null),(null),Agricultural,(null),(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
439078,01019000,Other,010190,15,0,(null),2005,1,6,(null),(null),true,2,false,53,United States,Australia,Immediate,6,10,(null),2005,United States,Australia,(null),true,(null),(null),(null),A change to heading 0101 through 0106 from any other chapter.,(null),(null),(null),Agricultural,(null),(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),0.0000,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
