Description	ECCN1	ECCN2	ECCN3	ECCN4	ECCN5
"Ablative liners, thrust or combustion chambers"	9A106a	9A619c	9A619e		
Absolute reflectance measurement equipment	6B004a				
"Absorbers, hair type"	1C001a Note 1a				
"Absorbers, non-planar & planar"	1C001a Note 1	1C001c	1C001c		
Encryption hardware component	"Category 5, Part  2 Note 3 (b)"				
Software	see product group D for controls in each category				
